082009080206 19.5 131.0 15
082009080212 20.5 131.0 15
082009080218 20.5 131.5 15
082009080300 20.5 133.5 20
082009080306 20.2 133.7 12
082009080312 20.7 135.8 15
082009080318 21.0 136.0 18
082009080400 21.6 136.1 18
082009080406 22.3 135.4 18
082009080412 22.4 134.5 20
082009080418 22.5 133.6 25
082009080500 22.8 133.2 28
082009080506 22.8 132.1 30
082009080512 23.0 131.0 33
082009080518 23.2 129.5 33
082009080600 23.3 127.9 38
082009080606 23.4 126.4 38
082009080612 23.5 125.1 40
082009080618 23.2 124.0 40
082009080700 23.5 123.2 40
082009080706 23.4 122.4 40
082009080712 23.6 122.1 40
082009080718 24.0 121.6 35
082009080800 24.6 121.5 33
082009080806 25.1 121.0 30
082009080812 25.4 120.8 30
082009080818 25.7 120.7 30
082009080900 25.9 120.5 30
082009080906 26.3 120.3 28
082009080912 27.0 120.0 25
082009080918 27.5 120.0 23
082009081000 28.2 119.6 20
082009081006 29.2 119.6 18
082009081012 30.0 119.7 18
082009081018 31.0 120.0 15
082009081100 31.5 120.5 15
