  0.0142   2.3427   0.6709  -1.0940
  0.1493   1.3933  -0.6009  -2.1070
 -0.0098   2.0878   0.4931  -1.4662
  0.0384   1.8062  -0.2964  -2.2647
  0.0301   1.9524  -0.8974  -1.8152
 -0.0976   2.0032  -0.5482  -1.9422
 -0.0114   1.7961  -0.7030  -1.9399
 -0.0645   1.7574   0.5177  -1.5995
 -0.1907   1.8053   0.7135  -2.5007
  0.0993   2.3033  -1.1968  -2.2654
 -0.1854   2.4908  -0.0781  -1.7782
  0.0367   1.8380   0.5153  -2.5926
  0.1458   1.6242  -0.3023  -2.2007
 -0.1434   2.0423  -0.7066  -3.1400
  0.1246   1.8926  -0.4896  -1.5868
 -0.1604   1.6972   0.0138  -2.0970
 -0.1461   2.1351  -0.3189  -1.8499
  0.1502   1.9682   0.8602  -1.5443
 -0.0676   2.2364   0.4239  -2.0858
 -0.1028   1.9317   0.1556  -1.9961
 -0.0696   1.6644  -0.0139  -1.8479
  0.0645   2.5467  -0.8092  -1.8188
 -0.1289   1.6062   0.1043  -3.1536
  0.0979   1.7335  -0.3449  -1.6261
 -0.1062   1.9733   0.7472  -1.8919
 -0.0663   2.2561   0.3922  -2.4984
 -0.0604   1.8588   0.1494  -2.8467
 -0.1072   1.6584   0.0244  -2.1710
  0.0806   2.1716   0.5918  -2.1389
 -0.0993   1.1859  -0.9696  -1.6992
  0.0491   1.8427   0.1751  -2.7849
  0.0443   2.4123  -0.1218  -1.0684
 -0.0573   2.1801   0.4464  -1.7244
 -0.0466   2.0391  -0.2984  -2.1314
 -0.0622   2.0031   0.2784  -2.2576
 -0.1119   2.2624   0.1201  -2.9356
 -0.1119   2.3914   0.1531  -1.3300
  0.1257   2.0271   1.1958  -1.3374
  0.0295   2.2992   0.3641  -1.6079
 -0.0166   1.8294   0.2057  -2.0149
 -0.0072   1.6992   1.1235  -2.1854
  0.1134   2.5699  -0.5982  -1.7191
  0.1169   2.2024  -0.8372  -2.2986
  0.0298   2.0577  -0.2684  -2.5222
  0.1135   1.7419  -0.5608  -2.3153
 -0.0784   1.9715   0.3241  -2.6098
  0.0136   2.3830  -0.1617  -1.4371
  0.1717   2.5085  -0.8151  -1.7327
 -0.0191   2.0038   0.1649  -1.2780
 -0.0244   2.2949  -0.1426  -2.6269
  0.0637   2.1579   0.5223  -1.9604
  0.1201   2.2069  -0.8533  -2.8856
 -0.0453   1.9956  -0.1627  -2.4557
  0.1173   2.1274   0.3633  -1.0239
  0.1103   2.4426  -1.2185  -2.0237
  0.0666   2.0992   0.2375  -1.6185
 -0.1428   1.7524  -0.5500  -2.8143
 -0.0429   2.2900  -0.0158  -1.9183
  0.2385   1.5150  -0.6462  -1.2285
 -0.0373   1.8748   0.4081  -1.7535
  0.0511   1.7139  -0.8365  -2.5421
  0.1209   2.1477   0.1717  -1.3088
  0.0382   1.8086  -0.7634  -1.5767
  0.0029   1.9626  -0.2626  -2.0354
  0.1878   2.5036  -0.7595  -0.9117
 -0.0395   2.2142   0.6788  -1.6498
 -0.0497   2.1306   0.2471  -2.3100
  0.0184   1.8173  -0.2666  -2.0789
 -0.0081   1.5501  -0.2628  -1.7689
  0.1645   2.0438  -0.5558  -2.3788
  0.0637   1.5662  -0.2350  -2.1551
  0.0155   2.0061   0.0268  -1.6237
 -0.1273   2.1118   1.1890  -1.7514
 -0.1413   2.3900   1.0053  -1.5641
 -0.0721   2.5842  -1.0008  -1.1507
  0.0218   1.7860  -0.1976  -1.6837
  0.0294   2.1353  -0.0659  -2.3527
 -0.0633   2.1361   0.7682  -1.4455
  0.0975   2.1048   0.6805  -2.2858
 -0.1169   1.8032   0.0628  -1.2556
 -0.0059   2.4053   0.6246  -2.3927
  0.0073   1.5908  -0.2927  -1.7742
  0.0201   2.0920   1.3290  -2.1186
  0.0055   2.1284   0.0770  -2.0095
  0.1507   2.1873   0.0455  -1.8357
 -0.0045   2.0809   0.1234  -1.1658
  0.0494   2.1720  -0.7559  -2.7994
  0.1391   2.2604   0.0120  -1.9680
 -0.0162   2.3626  -0.6950  -2.1559
 -0.0614   2.1276  -0.4361  -2.5726
 -0.0276   2.0383   0.1407  -1.5893
  0.0160   2.0060  -0.8408  -1.2373
 -0.1034   1.8069  -0.1738  -1.6502
  0.0283   2.6248  -1.0399  -1.8175
 -0.0955   1.8781   0.4462  -2.6759
 -0.0068   1.8790   0.9684  -3.0511
 -0.1391   2.2810  -0.2981  -2.1630
  0.0339   2.0337   1.3161  -2.8926
 -0.1666   2.0602   0.1744  -1.6171
 -0.1476   2.0409  -0.2342  -1.8974
